epoch,train_loss,val_loss,train_acc,val_acc
1,2.0879394838201444,1.902829706790911,0.2610720135897591,0.33843003412969286
2,1.676319356357517,1.5897174799889835,0.4140174725474732,0.4348122866894198
3,1.1831385983263905,1.2376578743710045,0.6101741187890554,0.6004095563139932
4,0.7650492035170272,0.7076130733636459,0.7633319177334223,0.7802047781569966
5,0.5137262174782009,0.6267053095309808,0.8472668810289389,0.8015017064846416
6,0.39228122556758493,0.45423686651646483,0.88298550021234,0.8585665529010239
7,0.3316992506731094,0.40476223131088673,0.9015804161863739,0.8722184300341297
8,0.2928610868783192,0.34618026238252686,0.9136079597160711,0.8951535836177474
9,0.26445295926704865,0.3369571716793568,0.9226930777164352,0.8967918088737201
10,0.24339724581290642,0.2953407587370368,0.9296396287083663,0.9094880546075085
11,0.18840424003665912,0.23852535775090242,0.9481587089728811,0.9321501706484642
12,0.17422432305320337,0.23687265543400632,0.9534217072134927,0.9321501706484642
13,0.16808738379717697,0.23725716948916073,0.9555451070800218,0.9307849829351535
14,0.16449020018907656,0.2396028413504057,0.9562276284656919,0.929419795221843
15,0.15968773451880156,0.23861469335930338,0.9580476854941454,0.9306484641638225
16,0.1566713691112132,0.24135973089790996,0.9590942182855062,0.9280546075085324
17,0.15380904805393197,0.24021091218287627,0.9604592610568464,0.9322866894197952
18,0.1499283417859558,0.2439389844457444,0.9613086210034582,0.9296928327645051
19,0.14728226028244915,0.23743203712404792,0.9622338166595886,0.9314675767918089
20,0.14429138536730388,0.24000300501800642,0.9628556694776437,0.93160409556314
