epoch,train_loss,val_loss,train_acc,val_acc
1,1.9327206613079753,1.6479545526537065,0.3245920038827883,0.41638225255972694
2,1.1376188666339002,0.8639319015281599,0.6331523387732816,0.7189078498293515
3,0.6470552810634405,0.6563524519868271,0.8071042892677304,0.7888054607508532
4,0.45043336142398976,0.429960076572952,0.8675453497542923,0.8708532423208191
5,0.36467417302745236,0.40877787519233627,0.8916762725232057,0.8711262798634812
6,0.317700869910659,0.3808581191972661,0.9061305587575077,0.8850511945392492
7,0.2867018039387052,0.3235483766619256,0.9168840623672875,0.9048464163822526
8,0.2553575350683464,0.2992933300615578,0.9251349875629437,0.9047098976109215
9,0.23716295034512366,0.3130846369307196,0.9309743371958988,0.9063481228668941
10,0.22083282264945417,0.30959885531724923,0.9364041739974519,0.9044368600682594
11,0.16889501487659841,0.23930844488811168,0.9544379057210459,0.9286006825938566
12,0.15560122146575997,0.24180677529081143,0.9599132439483103,0.9292832764505119
13,0.15088971971431303,0.2402901163198842,0.9611872838682278,0.9296928327645051
14,0.14674159840878473,0.24152196375583218,0.9627191652005096,0.9302389078498293
15,0.14275413908542145,0.24485636160235355,0.9639477036947157,0.9291467576791809
16,0.13971701404687192,0.24330842533209218,0.9656160893041316,0.9280546075085324
17,0.1365844261244519,0.24586127837770222,0.9669962992173755,0.9277815699658704
18,0.13301798009656554,0.24805776648147115,0.9673148091973548,0.926962457337884
19,0.12978193451670386,0.24473172289519587,0.9685281805496572,0.9279180887372014
20,0.12787812533457,0.2476401886435499,0.9691045319420009,0.9265529010238908
