epoch,train_loss,val_loss,train_acc,val_acc
1,1.8235522960347978,1.2429071388635213,0.35852090032154343,0.5833447098976109
2,0.9058269976426884,0.7400570078758656,0.7088515440150458,0.7661433447098976
3,0.532521135215945,0.5785241492128209,0.8369077231086574,0.8081911262798634
4,0.40085604439182115,0.43118560017172386,0.878511193350725,0.8678498293515359
5,0.3434855171645909,0.3615082131270256,0.8947703694715767,0.8924232081911263
6,0.29743967526262627,0.33363174097123,0.9121670812352121,0.8950170648464164
7,0.2637991677830247,0.3120747683682946,0.9219802220469575,0.9066211604095563
8,0.23926974960028138,0.29681380590481155,0.929381787296002,0.9133105802047782
9,0.22168672995089578,0.35159829486352184,0.9348419583813626,0.8925597269624573
10,0.1965576035445707,0.30436757178029916,0.9431232178608263,0.9055290102389079
11,0.1326118177819464,0.24690994367257726,0.9664806163926469,0.9260068259385665
12,0.11455322105329259,0.24777466402525788,0.9731693259722138,0.9266894197952218
13,0.10896651883738022,0.24730430463475173,0.9752017229873202,0.9286006825938566
14,0.10277171955592915,0.2497260168591457,0.9761875872110659,0.9276450511945392
15,0.0991412201082794,0.24981728517154786,0.977977309955712,0.9268259385665529
16,0.09575390314494263,0.25300059523598734,0.9791148455984954,0.9258703071672355
17,0.0918379559148351,0.25428605770495155,0.9804950555117393,0.9266894197952218
18,0.08840996882613984,0.25415475294451667,0.9814202511678699,0.924641638225256
19,0.0844091179088569,0.25640249440694424,0.9823909482497118,0.9245051194539249
20,0.0823760350909271,0.2577149705105674,0.9832251410544197,0.9253242320819113
